"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"a collect";28;1;0
"a colleg";0;45;28
"a color";0;2;0
"a coloss";0;0;4
"a column";17;0;0
"a columnist";0;41;0
"a combin";35;60;0
"a combo";0;0;36
"a comedi";3;0;0
"a comefrombehind";0;16;0
"a comfi";0;0;49
"a comfort";6;0;0
"a comic";44;0;0
"a comm";0;0;1
"a command";2;2;0
"a comment";55;2;0
"a commerci";37;0;10
"a commit";49;82;0
"a common";47;0;0
"a commonplac";0;0;4
"a communal";0;34;0
"a communiti";75;97;0
"a compani";33;18;34
"a companion";11;0;0
"a compel";0;0;2
"a competit";5;66;2
"a complaint";0;9;0
"a complet";40;0;69
"a complex";3;0;0
"a compliment";0;9;34
"a compost";0;13;0
"a compromis";0;18;0
"a comput";11;147;0
"a conceal";0;2;0
"a concept";2;38;0
"a concern";0;97;0
"a concert";0;36;0
"a conclus";36;2;0
"a concuss";0;1;0
"a condit";0;4;0
"a confer";39;0;0
"a confid";25;7;0
"a conflict";34;0;0
"a confluenc";0;28;0
"a congression";0;6;0
"a congresswoman";0;39;0
"a connect";0;1;0
"a consciousunconsci";5;0;0
"a consecut";0;1;0
"a conserv";0;1;0
"a consider";0;3;0
"a consist";1;39;0
"a conspiraci";0;1;0
"a constitut";0;26;2
"a construct";1;0;0
"a consult";34;0;0
"a contain";4;0;0
"a contemporari";36;13;0
"a contenti";0;18;0
"a contest";1;0;0
"a contra";0;6;0
"a contract";51;22;0
"a contrast";3;0;0
"a control";36;0;0
"a controversi";0;30;0
"a conveni";32;0;0
"a convers";76;0;0
"a cool";0;0;47
"a cop";0;32;0
"a copi";0;26;73
"a coproduct";0;8;0
"a corker";0;0;39
"a corner";0;17;0
"a cornerston";0;1;0
"a corpor";0;1;0
"a corrupt";0;27;0
"a corset";108;0;0
"a cost";0;15;0
"a cottag";0;54;0
"a councilman";0;8;0
"a counter";0;0;132
"a countertop";0;34;0
"a counti";28;0;1
"a countri";15;0;0
"a coupl";354;149;206
"a court";0;27;0
"a courtappoint";0;4;0
"a courtroom";0;17;0
"a cover";1;0;18
"a covet";0;8;0
"a cow";0;0;59
"a coward";5;0;0
"a cowboy";2;0;0
"a crab";14;0;0
"a crack";20;48;0
"a crazi";34;0;70
"a crazyass";0;0;61
"a creatur";16;34;3
"a credibl";4;0;0
"a credit";1;57;0
"a crew";0;83;0
"a crewman";6;0;0
"a crewmemb";0;7;0
"a crib";0;0;58
"a crime";0;25;0
"a crimin";0;18;0
"a crisi";2;61;0
"a crisp";26;0;0
"a critic";20;29;0
"a critiqu";3;0;0
"a crop";26;0;0
"a cross";58;30;49
"a crow";12;0;0
"a crowd";0;8;29
"a crucial";6;41;0
"a cruel";1;0;0
"a cruis";0;0;4
"a crush";10;0;41
"a crust";0;10;0
"a cs";0;0;17
"a csir";5;0;0
"a culpepp";1;0;0
"a cult";34;0;0
"a cunt";0;0;4
"a cup";42;0;0
"a cupcak";0;36;0
"a curios";20;0;0
"a curious";0;3;0
"a current";0;42;13
"a curv";4;0;0
"a cushion";35;0;0
"a custom";1;0;0
"a cut";2;0;0
"a cutdown";6;0;0
"a cute";2;0;48
"a cuyahoga";0;14;0
"a cy";0;31;0
"a dab";0;0;56
"a dad";8;0;0
"a daili";5;6;35
"a dam";0;40;0
"a damag";0;2;0
"a damn";45;1;56
"a damp";32;0;0
"a danc";0;0;6
"a dancer";0;0;18
"a dark";18;49;28
"a dash";0;40;0
"a databas";0;3;0
"a date";0;0;38
"a daughter";17;0;43
"a daunt";0;13;0
"a day";195;202;148
"a dbag”";8;0;0
"a dbi";40;0;0
"a dead";0;39;0
"a deadlin";0;0;50
"a deadlock";0;24;0
"a deal";0;40;47
"a dear";0;0;21
"a dearborn";0;37;0
"a death";66;0;0
"a debat";3;29;0
"a decad";72;34;0
"a decent";14;0;0
"a decis";0;45;60
"a declin";0;3;0
"a deep";1;1;0
"a deepli";31;0;0
"a deer";12;31;1
"a default";1;0;0
"a defend";0;12;0
"a defens";0;95;0
"a deficit";0;2;0
"a degre";0;18;0
"a delawar";0;14;0
"a delay";0;0;32
"a delic";33;0;0
"a delicatetast";0;8;0
"a delici";47;0;0
"a demand";50;0;0
"a dement";0;42;0
"a democrat";0;63;0
"a demonstr";5;0;0
"a dens";6;0;0
"a dentist";0;0;27
"a depart";0;136;0
"a deposit";0;26;0
"a deputi";0;0;26
"a derelict";1;0;0
"a descript";0;2;0
"a design";8;23;0
"a desir";0;18;0
"a desk";29;0;13
"a deskbound";0;1;0
"a desmirail";0;0;35
"a destin";1;61;0
"a destruct";6;0;0
"a detail";0;9;0
"a detent";1;0;0
"a deterior";7;0;0
"a detour";40;0;0
"a detriment";0;43;0
"a detroitbound";0;2;0
"a detstyl";27;0;0
"a develop";0;76;0
"a development";0;2;0
"a devic";18;0;0
"a diari";41;0;0
"a dick";0;0;80
"a dictionari";5;0;0
"a diehard";0;0;31
"a diet";12;0;0
"a differ";414;116;42
"a difficult";46;33;0
"a digit";0;26;0
"a dime";0;5;0
"a ding";0;0;1
"a dinner";1;0;0
"a dinosaur";0;35;0
"a direct";0;21;0
"a dirti";18;0;23
"a disabl";8;0;0
"a disadvantag";18;0;0
"a disast";47;0;0
"a disc";0;0;3
"a disciplinari";0;0;23
"a discoveri";41;0;0
"a discuss";0;52;40
"a diseas";31;0;0
"a dish";0;10;0
"a dishwash";0;1;0
"a dispassion";0;1;0
"a display";47;0;0
"a disproportion";84;0;0
"a disput";1;0;0
"a distant";0;0;7
"a distinct";41;0;0
"a distraught";0;6;0
"a district";24;0;0
"a disturb";4;38;0
"a divers";20;0;0
"a divis";0;36;0
"a divorc";31;0;0
"a dj";0;0;40
"a djs";0;0;2
"a dm";0;0;24
"a dna";29;0;0
"a doctor";0;18;0
"a documentari";0;3;0
"a dodg";0;42;0
"a dog";23;25;4
"a dollar";8;20;75
"a dollop";0;40;0
"a dolphin";0;33;0
"a dom";20;0;0
"a dome";7;0;0
"a doofus";41;0;0
"a dooley";0;15;0
"a door";20;0;0
"a doorbel";0;0;15
"a doorway";7;0;0
"a doover";0;43;0
"a dope";0;8;0
"a doubl";46;112;0
"a doubt";49;0;0
"a down";17;0;1
"a downattheheel";0;22;0
"a downsid";33;0;0
"a downtown";4;2;0
"a downward";7;0;0
"a dowri";5;0;0
"a dozen";42;7;51
"a dr";23;0;0
"a dragon";0;0;64
"a drain";0;23;0
"a drama";0;2;0
"a drawer";16;0;0
"a dream";9;0;157
"a dream”";0;6;0
"a dress";32;0;30
"a drink";62;0;4
"a drippi";44;0;0
"a drive";0;31;0
"a driver";0;1;0
"a drop";42;0;0
"a dropoff";0;36;0
"a drug";0;29;0
"a drummer";0;34;0
"a dubstep";0;0;4
"a duck";0;15;0
"a dude";0;0;30
"a dumbass";0;0;43
"a dunk";0;1;0
"a duo";0;0;23
"a dutch";5;0;0
"a duti";25;0;0
"a dvd";2;0;0
"a dwell";0;5;0
"a dwi";0;10;0
"a dynaband";2;0;0
"a dynam";0;19;0
"a edg";0;4;0
"a epic";44;0;1
"a era";0;11;0
"a f";32;0;0
"a fabul";25;0;0
"a face";52;0;62
"a facebook";38;0;21
"a facelift";0;1;0
"a facil";12;0;0
"a fact";0;30;1
"a factori";2;0;0
"a fadeaway";0;8;0
"a fail";0;67;0
"a faint";7;0;0
"a fair";29;48;0
"a fairi";57;0;0
"a fake";9;31;0
"a fall";0;86;0
"a famili";46;85;58
"a familiar";1;0;0
"a famous";10;0;0
"a fan";69;23;74
"a fan–embarrass";6;0;0
"a fantasi";18;0;0
"a fantast";16;0;56
"a far";0;19;0
"a fare";0;4;0
"a fascin";3;0;0
"a fashion";0;0;5
"a fat";32;0;0
"a fatal";16;0;0
"a father";22;0;0
"a favor";27;0;0
"a favorit";28;0;0
"a featur";16;34;0
"a feb";0;6;0
"a feder";5;65;0
"a fee";0;6;0
"a feed";0;3;0
"a feel";34;32;124
"a feisar";3;0;0
"a fellow";3;43;1
"a feloni";1;4;0
"a femal";6;0;0
"a femalemal";4;0;0
"a fenc";0;36;0
"a few";1144;651;82
"a fiat";0;0;63
"a fibr";18;0;0
"a fiction";15;0;0
"a field";7;75;0
"a fielder";0;11;0
"a fieri";27;31;0
"a fight";11;43;6
"a file";19;0;0
"a fill";10;0;0
"a film";78;36;2
"a filmmak";1;0;0
"a final";0;34;3
"a finalist";0;20;0
"a financ";0;0;23
"a financialmarket";0;30;0
"a fine";23;31;4
"a finish";0;0;3
"a finit";0;5;0
"a fire";28;2;149
"a firehook";0;0;32
"a firehos";1;0;0
"a fireplac";0;10;0
"a firestorm";0;3;0
"a firm";0;37;0
"a first";3;41;0
"a firstclass";0;9;0
"a firstcom";0;4;0
"a firstperson";0;6;0
"a firstround";0;2;0
"a firsttim";0;0;15
"a fischer";14;0;0
"a fish";0;0;44
"a fit";0;0;5
"a five";2;0;0
"a fivemil";0;16;0
"a fiveyear";0;27;0
"a fizz";3;0;0
"a flake";42;0;0
"a flash";28;1;0
"a flasher";0;16;0
"a flat";0;16;0
"a flaw";0;2;0
"a flesh";27;0;0
"a flier";0;16;0
"a flight";0;8;0
"a flip";0;0;38
"a floral";0;0;54
"a flower";41;0;0
"a flowi";23;0;0
"a fluf";29;0;0
"a foam";0;24;0
"a focus";43;2;0
"a fog";24;0;0
"a follow";25;0;106
"a following”";34;0;0
"a fond";0;32;0
"a food";21;0;42
"a foodi";0;0;15
"a fool";0;0;53
"a foot";3;0;54
"a footbal";0;1;50
"a footdeep";0;38;0
"a footer";0;2;0
"a for";8;0;0
"a foreclosur";0;51;0
"a foreign";39;0;0
"a forest";7;0;0
"a fork";5;1;0
"a form";0;26;0
"a former";40;206;0
"a formid";0;43;0
"a forsal";0;38;0
"a fortnight";9;0;0
"a fortuit";0;1;0
"a forward";0;38;0
"a foul";0;55;0
"a foundat";0;6;0
"a fourgam";0;67;0
"a fourhit";0;36;0
"a fourth";0;43;0
"a fourthgrad";0;1;0
"a fouryear";11;0;0
"a fox";12;0;0
"a fraction";10;0;0
"a frame";35;0;38
"a franchis";0;60;0
"a free";36;118;264
"a freeforal";3;0;0
"a freestand";46;0;0
"a freeway";0;5;0
"a freewheel";0;11;0
"a french";33;0;0
"a fresh";14;22;0
"a freshtast";25;0;0
"a fri";0;0;9
"a frictionless";0;1;0
"a friday";0;0;13
"a friend";66;60;101
"a friendlier";0;1;0
"a friendship";0;0;48
"a frighten";6;0;0
"a front";3;0;0
"a froyo";0;0;11
"a frozen";0;0;70
"a fruitless";0;2;0
"a fuck";40;0;13
"a full";151;23;111
"a fullblown";17;0;0
"a fullfledg";27;0;0
"a fulli";42;0;0
"� fulli";0;0;63
"a fulltim";9;62;59
"a fun";140;14;164
"a fundrais";0;110;57
"a funer";12;0;0
"a funni";40;17;0
"a funnier";17;0;0
"a further";60;0;0
"a futon";0;0;51
"a g";0;0;42
"a gag";6;8;0
"a gain";0;14;0
"a gallon";2;4;0
"a game";28;222;146
"a gamechang";14;0;0
"a gander";0;0;4
"a gang";0;38;0
"a gap";54;0;0
"a garag";24;0;0
"a garden";15;46;0
"a garland";20;0;0
"a gas";4;12;0
"a gash";0;9;0
"a gateway";8;0;0
"� gather";9;0;0
"a gay";0;1;0
"a gazillion";0;0;3
"a geek";1;0;0
"a gel";16;0;0
"a gem";0;1;0
"a gemini";0;0;19
"a general";0;0;31
"a generat";0;5;0
"a generous";29;0;0
"a genet";0;23;0
"a genius";0;0;29
"a gentl";2;0;0
"a gentleman";38;42;3
"a genuin";0;4;0
"a georgia";4;0;0
"a german";58;0;0
"a giant";17;31;30
"a gift";0;1;0
"a gig";0;0;54
"a gigant";26;0;0
"a girafferabbit";0;4;0
"a girl";55;4;166
"a girlfriend";0;0;2
"a giveaway";24;0;0
"a given";1;0;0
"a glanc";20;0;0
"a glass";39;34;0
"a glimps";62;31;0
"a glitzi";0;7;0
"a global";35;21;0
"a glorious";23;37;0
"a go";24;0;32
"a goal";50;31;0
"a god";10;0;0
"a gold";28;0;6
"a golden";54;0;0
"a good";539;372;758
"a goodluck";0;0;20
"a goodwil";0;15;0
"a gop";0;34;0
"a gorgeous";4;0;0
"a gorki";0;0;3
"a gothic";34;0;0
"a goulash";8;0;0
"a govern";0;44;0
"a governor";0;5;0
"a gps";0;44;0
"a grade";0;14;0
"a gradual";0;25;0
"a graduat";31;2;0
"a grammi";0;30;0
"a grand";0;23;1
"a grant";0;0;98
"a grave";44;0;0
"a graveston";0;1;0
"a gray";10;0;0
"a great";267;508;1399
"a greater";22;44;0
"a green";69;0;0
"a grill";0;2;63
"a grog";34;0;0
"a gross";0;0;3
"a grossli";8;0;0
"a ground";0;45;0
"a group";76;111;0
"a grow";85;4;0
"a growth";0;41;0
"a gta";26;0;0
"a guarante";1;0;21
"a gud";0;0;2
"a guest";0;0;11
"a guestsing";0;0;5
"a guid";24;0;0
"a guilti";23;0;0
"a guitar";0;0;1
"a gun";17;37;0
"a gunkylook";0;13;0
"a guy";57;20;128
"a gym";0;2;0
"a gyroscop";0;2;0
"a habit";2;0;0
"a hagerstown";0;39;0
"a half";121;21;39
"a halfbillion";0;4;0
"a halfdecad";0;1;0
"a halfgam";0;31;0
"a halfheart";5;0;0
"a halfmillion";1;0;0
"a hallmarklifetimemovieoftheweek";30;0;0
"a halt";8;27;0
"a hammer";0;0;99
"a hand";83;57;48
"a handgun";0;5;0
"a handi";44;0;0
"a handl";1;0;0
"a handshak";0;1;0
"a hangar";0;7;0
"a happi";77;6;2
"a haqqani";0;55;0
"a hard";56;51;0
"a hardcor";33;0;0
"a hardcov";10;0;0
"a harsh";0;1;0
"a hashtag";0;0;15
"a hasid";0;0;1
"a hat";15;0;0
"a hate";0;2;0
"a hay";20;0;0
"a head";3;27;55
"a headach";0;1;0
"a headscratch";0;20;0
"a health";2;0;0
"a healthi";53;42;124
"a healthier";26;0;0
"a heap";10;0;0
"a hear";0;35;0
"a heart";64;16;42
"a hearti";0;0;9
"a heat";2;0;8
"a heavi";1;2;0
"a heckofajob";0;0;58
"a hedg";0;1;0
"a hefti";0;11;0
"a heighten";0;6;0
"a helga";0;2;0
"a helicopt";26;16;0
"a hell";0;0;60
"a help";1;0;0
"a hen";31;0;0
"a henson";0;3;0
"a hero";0;71;0
"a heroin";0;30;0
"a high";26;202;37
"a highend";0;3;0
"a higher";32;13;0
"a higherseed";0;1;0
"a highimpact";0;18;0
"a highpressur";0;37;0
"a highprior";0;10;0
"a hightech";0;2;0
"a highway";0;10;0
"a hike";0;16;0
"a hilari";60;0;0
"a hill";0;33;0
"a hip";0;0;3
"a histor";10;10;0
"a histori";0;25;0
"a hit";0;6;4
"a hoboken";0;26;0
"a hockey";0;0;22
"a hogger";7;0;0
"a hold";1;79;0
"a hole";0;33;0
"a holiday";32;10;0
"a hollywood";0;25;0
"a holocaust";0;31;0
"a home";0;11;102
"a homeless";0;0;8
"a homeown";0;0;1
"a homer";0;41;5
"a honda";34;0;0
"a honeycomb";22;0;0
"a hook";30;0;1
"a horribl";0;0;55
"a horrid";30;0;0
"a horrif";0;38;0
"a horror";5;0;0
"a hors";22;0;11
"a hospit";11;33;0
"a host";32;16;0
"a hot";25;62;20
"a hotblood";1;0;0
"a hotel";38;12;34
"a hour";1;0;0
"� hour";0;0;12
"a hous";16;57;6
"a household";1;0;0
"a hr";0;0;7
"a hub";4;0;0
"a hug";33;0;0
"a huge";95;132;105
"a human";32;0;0
"a humanitarian";0;0;61
"a humbl";30;0;0
"a humor";44;0;15
"a hundi";8;0;0
"a hungri";0;0;25
"a hunt";0;3;0
"a hunter";3;0;0
"a hurri";60;0;2
"a hydrofoil";18;0;0
"a hype";0;0;6
"a hyperknowledg";0;1;0
"a hypothet";0;9;0
"a i";0;7;0
"� i";10;0;0
"� ill";0;0;64
"a in";0;31;40
"a increas";38;0;0
"a influenc";0;0;40
"a inning";0;2;0
"a iphon";0;0;55
"a jacki";1;0;0
"� jacksonvill";0;7;0
"a jail";0;7;0
"a jasmin";6;0;0
"a jealous";4;0;0
"a jellyfish";20;0;0
"a jerk";0;0;21
"a jersey";0;6;0
"a jew";24;0;0
"a jewel";22;0;0
"a jiffi";6;0;0
"a job";151;35;81
"a joint";0;74;41
"a joke";2;0;38
"a jolli";0;0;3
"a journal";47;0;0
"a journalist";18;0;0
"a journey";28;43;0
"a joy";0;0;3
"a joyrid";0;19;0
"a jpg";16;0;0
"a judg";3;6;60
"a judgment";3;0;0
"a juli";0;36;0
"a jumper";0;8;0
"a june";0;30;0
"a junior";0;2;0
"a juri";0;2;0
"a juvenil";0;42;0
"a k";0;0;14
"a kabocha";0;19;0
"a karaok";0;0;28
"a keg";42;0;0
"a keurigparti";0;0;10
"a key";0;105;21
"a kick";0;2;0
"a kickstart";1;0;0
"a kid";123;0;0
"a kill";26;0;0
"a killer";0;0;46
"a kinda";41;0;0
"a kinder";0;2;0
"a king’";15;0;0
"a kingsiz";0;3;0
"a kiss";0;0;4
"a kk";15;0;0
"a kmart";0;7;0
"a knife";36;19;0
"a knob";0;0;8
"a korean";0;17;0
"a l";0;0;15
"a la";29;0;0
"a label";0;0;3
"a labor";3;43;0
"a lack";78;28;0
"a lacross";0;36;0
"a ladder";0;0;4
"a ladi";43;1;76
"a laidback";0;15;0
"a lake";0;39;0
"a lakewood";0;42;0
"a land";8;0;0
"a landmark";0;21;0
"a languag";1;0;0
"a lap";0;4;0
"a laptop";0;0;29
"a larceni";0;14;0
"a larg";101;175;13
"a larger";14;34;0
"a last";32;57;0
"a lastminut";0;1;0
"a late";31;3;0
"a later";1;4;1
"a latino";0;19;0
"a laugh";20;25;0
"a launch";0;13;0
"a laura";0;2;0
"a lavish";0;36;0
"a lawsuit";0;58;0
"a lawyer";0;98;5
"a lazi";6;0;0
"a lb";0;0;50
"a lead";0;119;0
"a leader";23;0;0
"a leaf";26;0;0
"a leak";0;37;0
"a leaki";0;0;6
"a leap";7;0;0
"a lectur";0;17;0
"a lefthand";0;22;0
"a leftist";43;0;0
"a legal";0;0;28
"a legend";0;0;59
"a legendari";0;7;0
"a legitim";0;1;49
"a legless";15;0;0
"a leicesterborn";17;0;0
"a lemongrass";0;6;0
"a lengthi";2;48;0
"a less";5;36;0
"a lesson";23;0;0
